LGA,RIC,1525,1723,96
LGA,RIC,1538,1713,94
LGA,RIC,1520,1700,134
LGA,RIC,1522,1701,191
LGA,RIC,1518,1700,194
LGA,RIC,1523,1707,98
LGA,RIC,1520,1653,107
LGA,RIC,1520,1707,106
LGA,RIC,1525,1709,95
LGA,RIC,1525,1659,142
LGA,RIC,1525,1736,86
LGA,RIC,1522,1723,188
LGA,RIC,1741,1933,150
LGA,RIC,1523,1725,141
LGA,RIC,1523,1713,167
LGA,RIC,1519,1657,175
LGA,RIC,1840,2024,94
LGA,RIC,1525,1705,123
LGA,RIC,1519,1647,115
LGA,RIC,1730,2005,199
LGA,RIC,1526,1717,138
LGA,RIC,1530,1712,148
LGA,RIC,1514,1654,102
LGA,RIC,1729,1856,86
LGA,RIC,1550,1735,175
RIC,LGA,1802,1918,149
LGA,TYS,1954,2241,129
LGA,TYS,2020,2247,102
LGA,TYS,1959,2211,188
LGA,TYS,1955,2234,100
LGA,TYS,1954,2220,148
LGA,TYS,2003,2224,125
LGA,TYS,2001,2232,153
LGA,TYS,2044,2245,130
LGA,TYS,1947,2209,149
LGA,TYS,2311,0125,165
LGA,TYS,1952,2240,153
LGA,TYS,1954,2221,98
LGA,TYS,2241,0056,85
LGA,TYS,2000,2224,196
LGA,TYS,1956,2218,88
LGA,TYS,2003,2230,154
LGA,TYS,2127,2338,100
LGA,TYS,1955,2223,99
LGA,TYS,2025,2236,93
LGA,TYS,1958,2211,156
LGA,TYS,1949,2216,180
LGA,TYS,2005,2215,169
LGA,TYS,2153,0020,122
RIC,LGA,1754,1947,121
RIC,LGA,1744,1921,149
RIC,LGA,1745,1916,144
RIC,LGA,1743,1854,151
RIC,LGA,1753,1916,154
RIC,LGA,1750,1927,148
RIC,LGA,1905,2014,131
RIC,LGA,1745,1902,172
RIC,LGA,2014,2244,161
RIC,LGA,1744,1909,140
RIC,LGA,1750,1906,144
RIC,LGA,2056,2211,118
RIC,LGA,1748,1901,81
RIC,LGA,1753,1921,184
RIC,LGA,1815,1932,94
RIC,LGA,1941,2106,119
RIC,LGA,1759,1911,185
RIC,LGA,1757,2001,116
RIC,LGA,1802,1914,139
RIC,LGA,1801,1919,140
RIC,LGA,1745,1908,117
RIC,LGA,1951,2105,145
TYS,LGA,0625,0828,193
TYS,LGA,0657,0846,160
TYS,LGA,0701,0850,198
TYS,LGA,1232,1416,1840
TYS,LGA,0651,0859,129
TYS,LGA,0656,0910,117
TYS,LGA,0649,0849,148
TYS,LGA,0650,0845,140
TYS,LGA,0659,0851,95
TYS,LGA,1236,1443,197
TYS,LGA,0738,0936,161
TYS,LGA,0656,0839,117
TYS,LGA,0709,0854,140
TYS,LGA,0922,1119,106
TYS,LGA,0655,0904,83
TYS,LGA,1544,1817,132
TYS,LGA,0650,0852,95
TYS,LGA,0654,0854,158
TYS,LGA,1422,1623,195
TYS,LGA,1232,1441,184
TYS,LGA,0657,0907,113
TYS,LGA,0650,0857,91
TYS,LGA,0656,0900,148
TYS,LGA,0709,0920,157
MIA,LGA,1624,1859,113
MIA,LGA,1633,1905,136
MIA,LGA,1618,1854,196
MIA,LGA,1610,1845,140
MIA,LGA,1609,1912,83
MIA,LGA,1605,1851,171
MIA,LGA,1612,1842,183
MIA,LGA,1603,1843,136
MIA,LGA,1612,1900,109
MIA,LGA,1603,1849,182
MIA,LGA,1613,1907,155
MIA,LGA,1608,1855,138
MIA,LGA,1613,1908,170
MIA,LGA,1609,1847,174
MIA,LGA,1609,1845,113
MIA,LGA,1755,2033,135
MIA,LGA,1610,1842,168
MIA,LGA,1610,1856,196
MIA,LGA,1608,1839,134
MIA,LGA,1617,1905,107
MIA,LGA,1715,1947,116
MIA,LGA,1646,1937,86
MIA,LGA,1603,1847,197
MIA,LGA,1620,1931,96
MIA,LGA,1605,1857,176
MIA,LGA,1620,1857,89
MIA,LGA,1605,1852,88
MIA,LGA,1633,1920,127
MIA,LGA,1647,1944,91
MIA,LGA,1609,1853,126
MIA,LGA,1806,2050,129
MIA,LGA,1227,1506,182
MIA,LGA,1210,1450,177
MIA,LGA,1352,1624,178
MIA,LGA,1235,1516,121
MIA,LGA,1206,1440,147
MIA,LGA,1213,1442,124
MIA,LGA,1213,1447,170
MIA,LGA,1240,1521,122
MIA,LGA,1211,1503,191
MIA,LGA,1237,1519,119
MIA,LGA,1214,1455,94
MIA,LGA,1211,1450,92
MIA,LGA,1212,1509,153
MIA,LGA,1240,1522,90
MIA,LGA,1213,1447,192
MIA,LGA,1250,1531,171
MIA,LGA,1240,1521,192
MIA,LGA,1222,1458,164
MIA,LGA,1231,1516,150
MIA,LGA,1229,1512,110
MIA,LGA,1215,1450,116
MIA,LGA,1251,1525,100
MIA,LGA,1215,1503,165
MIA,LGA,1210,1514,171
MIA,LGA,1215,1507,90
MIA,LGA,1212,1455,83
MIA,LGA,1208,1451,158
MIA,LGA,1236,1524,112
MIA,LGA,1218,1510,158
MIA,LGA,1216,1501,83
MIA,LGA,1226,1514,185
LGA,ORD,1455,1623,187
LGA,ORD,1446,1609,162
LGA,ORD,1446,1636,162
LGA,ORD,1456,1645,85
LGA,ORD,1454,1620,150
LGA,ORD,1520,1703,171
LGA,ORD,1450,1652,132
LGA,ORD,1513,1713,86
LGA,ORD,1502,1705,109
LGA,ORD,1458,1637,188
LGA,ORD,1506,1643,83
LGA,ORD,1449,1634,165
LGA,ORD,1451,1637,185
LGA,ORD,1451,1627,194
LGA,ORD,1453,1635,141
LGA,ORD,1502,1644,191
LGA,ORD,1509,1703,183
LGA,ORD,1451,1643,129
LGA,ORD,1451,1908,105
LGA,ORD,1453,1623,125
LGA,ORD,1605,1804,178
LGA,ORD,1617,1820,120
LGA,ORD,1607,1735,160
LGA,ORD,1625,1815,161
LGA,ORD,1605,1744,102
LGA,ORD,1602,1745,121
LGA,ORD,1614,1825,121
LGA,ORD,1603,1742,146
LGA,ORD,1604,1757,171
LGA,ORD,1605,1748,118
LGA,ORD,1617,1803,177
LGA,ORD,1605,1733,89
LGA,ORD,1649,1820,130
LGA,ORD,1603,1828,126
LGA,ORD,1606,1808,148
LGA,ORD,1649,1858,136
LGA,ORD,1610,1801,99
LGA,ORD,1609,1807,175
LGA,ORD,1604,1735,93
LGA,ORD,1736,1913,139
LGA,ORD,1605,1757,145
LGA,ORD,1608,1757,136
LGA,ORD,1609,1752,104
LGA,ORD,1620,1759,177
LGA,ORD,1606,1736,95
LGA,ORD,1602,1734,159
LGA,ORD,1635,1837,196
LGA,ORD,1612,1800,176
LGA,ORD,1716,1957,80
LGA,ORD,1703,1853,85
LGA,ORD,1619,1749,189
ORD,LGA,2021,2308,141
ORD,LGA,1946,2230,163
ORD,LGA,2054,2354,95
ORD,LGA,1943,2229,174
ORD,LGA,1945,2247,158
ORD,LGA,1947,2243,199
ORD,LGA,1947,2231,154
ORD,LGA,2058,2341,173
ORD,LGA,1951,2243,84
ORD,LGA,1947,2242,145
ORD,LGA,2035,1125,173
ORD,LGA,1946,2237,113
ORD,LGA,1951,2238,128
ORD,LGA,2008,2309,138
ORD,LGA,1955,2241,172
ORD,LGA,1951,2242,144
ORD,LGA,1946,2226,194
ORD,LGA,2026,2309,145
ORD,LGA,2041,2346,121
ORD,LGA,1950,2234,140
ORD,LGA,2014,2321,196
ORD,LGA,2004,2313,187
ORD,LGA,2007,2320,165
ORD,LGA,1940,2242,161
ORD,LGA,2101,2356,195
ORD,LGA,2154,0056,194
ORD,LGA,2037,2336,147
LGA,ORD,1717,1920,159
LGA,ORD,1737,1908,193
LGA,ORD,1734,1902,132
LGA,ORD,1815,1943,154
LGA,ORD,1735,1905,185
LGA,ORD,1711,1903,91
LGA,ORD,1713,1838,124
LGA,ORD,1715,1908,109
LGA,ORD,1711,1902,112
LGA,ORD,1714,1854,177
LGA,ORD,1745,1922,111
LGA,ORD,1715,1935,97
LGA,ORD,1727,1928,152
LGA,ORD,1717,1902,127
LGA,ORD,1720,1919,180
LGA,ORD,1747,1934,141
LGA,ORD,1726,1855,182
LGA,ORD,1714,1854,118
LGA,ORD,1817,2018,171
LGA,ORD,1717,1905,194
LGA,ORD,1719,1909,82
LGA,ORD,1716,1848,117
LGA,ORD,1758,1948,184
LGA,ORD,1733,1900,103
LGA,ORD,1837,2035,172
LGA,ORD,1730,1948,159
LGA,ORD,1713,1902,95
ORD,LGA,1859,2141,189
ORD,LGA,1901,2152,141
ORD,LGA,1901,2206,157
ORD,LGA,1859,2151,136
ORD,LGA,1925,2205,166
ORD,LGA,1854,2152,173
ORD,LGA,1907,2210,127
ORD,LGA,2012,2300,155
ORD,LGA,1901,2151,182
ORD,LGA,1854,2152,154
ORD,LGA,1855,2147,84
ORD,LGA,2006,2301,139
ORD,LGA,2003,0011,101
ORD,LGA,1934,2219,192
ORD,LGA,1855,2143,132
ORD,LGA,1939,2230,185
ORD,LGA,1900,2205,193
ORD,LGA,1901,2154,183
ORD,LGA,1859,2152,171
ORD,LGA,1959,2238,172
ORD,LGA,1907,2206,86
ORD,LGA,1945,2249,113
ORD,LGA,1908,2151,94
ORD,LGA,1857,2201,138
